"signature","libraryName","placeName","allAuthorNames","allNotes","place"
"3024C","Aberystwyth, National Library of Wales","Aberystwyth","Giraldus Cambrensis","Il manoscritto membranaceo è formato da I, 98 ff. e misura 225x115 mm. Rilegato in pergamena bianca con i bordi della pagina marmorizzati. Il codice trasmette l'Itinerarium Kambriae nella terza edizione e la Descriptio Kambriae nella recensio posterior.  *** Il manoscritto membranaceo è formato da I, 98 ff. e misura 225x115 mm. Rilegato in pergamena bianca con i bordi della pagina marmorizzati. Il codice trasmette l'Itinerarium Kambriae nella terza edizione e la Descriptio Kambriae. ","http://www.wikidata.org/entity/Q213154"
"3074D","Aberystwyth, National Library of Wales","Aberystwyth","Giraldus Cambrensis","Il manoscritto è formato da ff. 118. Ha il testo disposto sue due colonne di 40 linee e ha dimensioni di 174x267 mm. Il codice trasmette l'Expugnatio Hibernica di Giraldus Cambrensis e la Topographia Hibernica nella versione V. ","http://www.wikidata.org/entity/Q213154"
"Peniarth MS 382 D","Aberystwyth, National Library of Wales","Aberystwyth","Johannes Presbyter","Il manoscritto trasmette la redazione C dell'Epistola. ","http://www.wikidata.org/entity/Q213154"
"583","  Admont, Bibliothek des Benediktinerstifts","Admont","Odoricus de Portu Naonis","Il manoscritto membranaceo è formato da 99 ff. e misura 220x150 mm. Parzialmente datato al 24 agosto 1435, il codice trasmette il testo di Odorico da Pordenone nella redazione C. ","http://www.wikidata.org/entity/Q359324"
"639","  Admont, Bibliothek des Benediktinerstifts","Admont","Odoricus de Portu Naonis","Il manoscritto membranaceo è formato da 94 ff. Posseduto dall'abbazia di Admont, il codice riporta il testo della Relatio nella redazione D. ","http://www.wikidata.org/entity/Q359324"
"14","Alençon, Médiathèque de la Communauté Urbaine (olim Bibliothèque Municipale)","Alençon","Sanctus Brendanus","Il manoscritto membranaceo è formato da 156 ff. e misura 290x200 mm; fu esemplato a Saint-Evroult-Notre-Dame-du-Bois. La seconda unità codicologica, corrispondente ai ff. 12-156, fu in parte vergata da Orderico Vitale (1075-1142/1143) e trasmette la Vita sancti Willibrordi, la Vita sancti Aethelwoldi episcopi, il Liber officialis di Amalarius Symphosius, le Epistolae di Fulbertus Carnotensis. ","http://www.wikidata.org/entity/Q181269"
"Cod. geogr. 54","Biblioteca statale e universitaria di Amburgo","Amburgo","Felix Fabri",,"http://www.wikidata.org/entity/Q1055"
"Petri 30b","Biblioteca statale e universitaria di Amburgo","Amburgo","Burchardus de Monte Sion","Il manoscritto trasmette la redazione lunga della Descriptio di Burcardo da Monte Sion. ","http://www.wikidata.org/entity/Q1055"
"geogr. 59","Biblioteca statale e universitaria di Amburgo","Amburgo","Burchardus de Monte Sion","Il manoscritto trasmette il testo della Descriptio di Burcardo da Monte Sion nella redazione lunga.","http://www.wikidata.org/entity/Q1055"
"hist. 31b","Biblioteca statale e universitaria di Amburgo","Amburgo","Iohannes de Mandavilla","Il manoscritto cartaceo è formato da 244 ff. e misura 280x220 mm. Riporta la versione continentale dell'Itinerarius. ","http://www.wikidata.org/entity/Q1055"
"theol. 1727","Biblioteca statale e universitaria di Amburgo","Amburgo","Sanctus Brendanus","Il manoscritto membranaceo è formato da ff. I, 303, I' e misura 422x305 mm, con il testo disposto su due colonne. Trasmette inoltre le Passioni di santi. ","http://www.wikidata.org/entity/Q1055"
"226","Amiens, Bibliothèque municipale","Amiens","Johannes Presbyter","Il manoscritto membranaceo è formato da 129 ff. e misura 242x163 mm. Esemplato nel nord della Francia, il codice trasmette la redazione originale dell'Epistola del Prete Gianni. ","http://www.wikidata.org/entity/Q41604"
"84","Amiens, Bibliothèque municipale","Amiens","Rorgus Fretellus de Nazareth","Il manoscritto membranaceo è formato da 19 ff. e misura 250x170 mm. Il codice trasmette la versione Henry-Sdyck del Liber di Rorgo Fretellus. ","http://www.wikidata.org/entity/Q41604"
"311","Biblioteca Città di Arezzo","Arezzo","Sanctus Brendanus","Il manoscritto membranaceo è composto da V, 372, IV ff. e misura 182x130 mm. Probabilmente esemplato ad Arezzo nel primo quarto del XIV secolo, fu posseduto dall'Eremo di Camaldoli ad Arezzo (sec. XIV-XIX) e successivamente dalla fraternita di S. Maria della Misericordia (sec. XIX-XX). Al f. 1v sono presenti annotazioni del XIV secolo, al f. 5r la nota di possesso dell'Eremo di Camaldoli (sec. XIV), al f. 2r nota di possesso del XVII secolo e ai ff. 2r e 373v ci sono dei timbri della Fraternita dei Laici di Arezzo. Il codice trasmette inoltre agiografie e testi liturgici. ","http://www.wikidata.org/entity/Q13378"
"163 (184)","Arras, Bibliothèque Municipale","Arras","Johannes Presbyter","Il manoscritto è formato da 132 ff. Trasmette la redazione originale dell'Epistola del Prete Gianni. ","http://www.wikidata.org/entity/Q131329"
"528","Arras, Bibliothèque Municipale","Arras","Johannes Presbyter","Il manoscritto trasmette la versione originale dell'Epistola. ","http://www.wikidata.org/entity/Q131329"
"343","Assisi, Biblioteca comunale ","Assisi","Odoricus de Portu Naonis","Il manoscritto membranaceo è formato da 58 ff. e misura 258x188 mm. Il codice trasmette il testo della Relatio nella redazione C. ","http://www.wikidata.org/entity/Q20103"
"2° 203","Augsburg State and Municipal Library","Augusta","Sanctus Brendanus","Il codice composito è stato esemplato nell'abbazia dei Ss. Ulrich e Afra di Augusta, consta di XI, 144 ff. e misura 205x155 mm. Formato da sei U.C., trasmette vite di santi e omeliari. ","http://www.wikidata.org/entity/Q2749"
"2° 289","Augsburg State and Municipal Library","Augusta","Sanctus Brendanus","Il manoscritto cartaceo è composto da 158 ff. e misura 275 x 205 mm, con il testo disposto su due colonne. Trasmette inoltre salmi e sermoni. Il codice propone una versione abbreviata della Navigatio, con l'omissione dei capitoli IV, dedicato alla costruzione della navicula, e XIV, in cui si racconta dei monaci che si lasciano trasportare in nave dal vento. Per l'edizione fondata su questo manoscritto si rinvia al link: http://ecodicibus.sismelfirenze.it/uploads/5/5/559/Nessi_Augsburg.pdf","http://www.wikidata.org/entity/Q2749"
"4° 149","Augsburg State and Municipal Library","Augusta","Opus sine auctore","Il manoscritto cartaceo è formato da 459 ff. e misura 160-190x95-120 mm. Contiene note di Leonhard Wagner (m. 1522). Trasmette anche testi di papa Gregorio Magno. ","http://www.wikidata.org/entity/Q2749"
" I.2.2° 31","library of the University of Augsburg","Augusta","Iohannes de Mandavilla","Il manoscritto cartaceo è formato da 35 ff. e misura 310x210 mm. Fu esemplato a Erfurt. Il codice trasmette la versione continentale del testo di Mandeville. ","http://www.wikidata.org/entity/Q2749"
"I.2.8° 10","library of the University of Augsburg","Augusta","Sanctus Brendanus","Il manoscritto membranaceo è formato da I, 128 ff. e misura 160-170x115-120 mm. Si compone di quattro diverse U.C.: la prima, della prima metà del XIV secolo, fu esemplata a Bayern e trasmette la Medella animae vulneratae, ff. 1r-29v; la seconda, corrispondente ai ff. 34r-56v, trasmette la Navigatio e fu forse in parte copiata da frater Andreas nel 1463; la terza risalente al primo terzo del XIII secolo riporta l'Elucidarium di Honorius Augustodunensis presbyter, ff. 69r-92v, la quarta riporta invece le Homilae XL in Evangelia di papa Gregorio I. ","http://www.wikidata.org/entity/Q2749"
"II.1.2° 105","library of the University of Augsburg","Augusta","Burchardus de Monte Sion","Il manoscritto cartaceo è formato da I, 188 ff. e misura 305x205 mm. Il codice trasmette la Descriptio Terrae Sanctae nella redazione breve. ","http://www.wikidata.org/entity/Q2749"
"76","Windsheim, Stadtbibliothek","Bad Windsheim","Johannes Presbyter","Il manoscritto è formato da 228 ff. Il codice riporta la redazione B dell'Epistola. ","http://www.wikidata.org/entity/Q132278"
"MS.W.76","Walters Art Museum","Baltimora","Johannes Presbyter","Il manoscritto è formato da 158 ff. Trasmette la redazione B dell'Epistola, che aggiunge un paragrafo relativo al secondo palazzo del regno. ","http://www.wikidata.org/entity/Q5092"
"Diversos i Col.leccions, Ripoll 41","Archivio Generale della Corona di Aragona","Barcellona","Sanctus Brendanus","Il manoscritto membranaceo è composto da II, 178 ff. e misura 355x255 mm con il testo disposto su due colonne. Trasmette inoltre il Tractatus de purgatorio sancti Patricii, ff. 27v-24v, la Visio monachi de Wynsham di Adam Eyneshamensis abbas, ff. 3r-27v, la visio Iohanni Eleemosinarii di Leontius Neapolitanus, ff. 105v-127r, la Visio prima sancti Francisci di Thomas de Celano, ff. 143r-175v. ","http://www.wikidata.org/entity/Q1492"
"Ripoll 151","Archivio Generale della Corona di Aragona","Barcellona","Beda Venerabilis","Il manoscritto è membranaceo, composto da 168 ff., misura 215 x 135 mm e presenta una rilegatura in pergamena del XIX secolo. L'ente possessore è il monastero di Santa Maria di Ripoll. 
Il codice trasmette diversi testi: Bula de Urbano II a Hugo de Cluny, ""Quoniam sanctitatem vestram"" (J-L 5349) f. 1r; De locis sanctis/Bedae Venerabilis (ff. 1v-12r); De Octaviano imperatore. Octavianus Caesar LVIº anno regni sui (ff. 31v-32r); Statutum de defunctis/ [Odilonis V Cluniacensis] (f. 32r); Hymnus Sancti Anastasii. Lux mundi beatissima Maria (f. 32v); Hymnus Sancti Anastasii. Lux mundi beatissima Maria (f. 32v).

Vaticinium Sibille [=Interpretatio Sibyllinorum verborum] / Pseudo Bedae Venerabilis (ff. 33r-37v); In nativitate Sanctae Mariae[=Sermo IV] / Fulberti Carnotensis (ff. 37v-40v); Liber Mysticus. De reparatione lapsi/Iohannis Chrisostomi"" (con un prefacio: ""O vos qui graviter peccastis..."" (ff. 41r- 75v); Enchiridion"" [de fide, spe et charitate] / Sancti Augustini (ff. 75v-112v); Opusculum de ethimologiis ebraichorum [nominum quib]us apud eos nominatur Deus et de Sancta"" [Trinitate id] est Patre et Filio et Spiritu Sancto / ""dom""[ini Isidori] ""episcopi (excerpta ex"" Etymologiarum lib. VII ; (ff. 112v-119r); Excerpta ex universo beate recordacionis Agustini episcopi in unum collecta / sanctae memoriae Vincentii Lirinensis insule presbiteri (ff. 119r-131r); Excerpta de libro altercacionis Sancti Augustini episcopi adversus Pascentium et Felicianum et arrianos adversus Pascentium inter cetera (ff. 131r-135r); Opuscula de racione fidei [=De incarnatione filii Dei] / Sancti Fulgenti [Ruspensis] ""episcopi"" (ff. 135r-140r); Epistola ad Ferandum [=epist. XIV] / ipse [Fulgentius Ruspensis] (ff. 140r-146v); Libellus De fide / Sancti Bacciari presbiteri (ff. 146v-152r); Oracio Sancte Marie. Imperatrix reginarum et salvatrix animarum (f. 152r); Bula de Urbano II a Hugo de Cluny, Quoniam abundante iniquitate (J-L 5682) (f. 152v); In nativitate Sancte Marie [Homilia] (ff. 153r-167v). 
","http://www.wikidata.org/entity/Q1492"
"Ripoll 99","Archivio Generale della Corona di Aragona","Barcellona","Opus sine auctore","Il manoscritto membranaceo è composto da 85 ff. e misura 280x180 mm. Trasmette il Liber sancti Iacobi con i libri I, II e V incompleti. ","http://www.wikidata.org/entity/Q1492"
