"manuscript","signature","library"
"https://imagoarchive.it/ontology/resources/manuscript/venezia/biblioteca_nazionale_marciana/lat._x._73_(3445)/all","lat. X. 73 (3445)","Biblioteca nazionale Marciana"
"https://imagoarchive.it/ontology/resources/manuscript/oxford/biblioteca_bodleiana/rawlinson_b._505_(s.c._11852)/103r-116r","Rawlinson B. 505 (S.C. 11852)","Biblioteca Bodleiana"
"https://imagoarchive.it/ontology/resources/manuscript/berlino/biblioteca_statale_berlinese_-_patrimonio_culturale_prussiano/diez_b_sant._16/110v–112v","Diez B Sant. 16","Biblioteca statale berlinese - Patrimonio culturale prussiano"
"https://imagoarchive.it/ontology/resources/manuscript/venezia/biblioteca_nazionale_marciana/_lat._z._476_(1944)/97r-98v,_103r-105v"," lat. Z. 476 (1944)","Biblioteca nazionale Marciana"
"https://imagoarchive.it/ontology/resources/manuscript/londra/lambeth_palace_library/622/16-71v","622","Lambeth Palace Library"
"https://imagoarchive.it/ontology/resources/manuscript/vienna/biblioteca_nazionale_austriaca/362/27r-36r","362","Biblioteca Nazionale Austriaca"
"https://imagoarchive.it/ontology/resources/manuscript/praga/národní_knihovna_ceské_republiky/iv.h.14_(778)/178r-189r","IV.H.14 (778)","Národní Knihovna Ceské Republiky"
"https://imagoarchive.it/ontology/resources/manuscript/liegi/liège,_grand_séminaire/6_f_14/125r-142r","6 F 14","Liège, Grand Séminaire"
"https://imagoarchive.it/ontology/resources/manuscript/wolfenbüttel/herzog_august_bibliothek/gud._lat._3/30v-74r","Gud. Lat. 3","Herzog August Bibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/firenze/biblioteca_riccardiana/884/1r-100r","884","Biblioteca Riccardiana"
"https://imagoarchive.it/ontology/resources/manuscript/bruxelles/__bruxelles,_kbr_(olim_bibliothèque_royale_«albert_ier»)/1160-63_(3142)/2r-29r","1160-63 (3142)","  Bruxelles, KBR (olim Bibliothèque Royale «Albert Ier»)"
"https://imagoarchive.it/ontology/resources/manuscript/città_del_vaticano/biblioteca_apostolica_vaticana/vat._lat._7584/43r-45r","Vat. lat. 7584","Biblioteca Apostolica Vaticana"
"https://imagoarchive.it/ontology/resources/manuscript/monaco_di_baviera/bayerische_staatsbibliothek/clm_17060/68r-76r","Clm 17060","Bayerische Staatsbibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/parigi/bibliothèque_nationale_de_france/lat._5135a/37v-39r","lat. 5135a","Bibliothèque nationale de France"
"https://imagoarchive.it/ontology/resources/manuscript/città_del_vaticano/biblioteca_apostolica_vaticana/urb._lat._406/124r-","Urb. lat. 406","Biblioteca Apostolica Vaticana"
"https://imagoarchive.it/ontology/resources/manuscript/cambridge/st_catharine's_college/3_(e.iv.96)/105v-167v","3 (E.IV.96)","St Catharine's College"
"https://imagoarchive.it/ontology/resources/manuscript/milano/biblioteca_ambrosiana/e_22_inf._/all","E 22 inf. ","Biblioteca Ambrosiana"
"https://imagoarchive.it/ontology/resources/manuscript/roma/biblioteca_vallicelliana/c_75/1v-77v","C 75","Biblioteca Vallicelliana"
"https://imagoarchive.it/ontology/resources/manuscript/venezia/biblioteca_nazionale_marciana/lat.xiv.264_(4296)/37v,_35r–35v,_38r;_48v–52r","lat.XIV.264 (4296)","Biblioteca nazionale Marciana"
"https://imagoarchive.it/ontology/resources/manuscript/breslavia/wroclaw,_biblioteka_uniwersytecka/r_445/218r-242r","R 445","Wroclaw, Biblioteka Uniwersytecka"
"https://imagoarchive.it/ontology/resources/manuscript/dublino/trinity_college/580_(e.3.8)/139v-141r","580 (E.3.8)","Trinity College"
