"signature","libraryName","placeName","allAuthorNames","allNotes","place"
"75.J.53 (Z 183)","Koninklijke Bibliotheek","'s Gravenhage","Guilielmus de Boldensele","Il manoscritto cartaceo è formato da 22 ff. ed è formato da due testi messi insieme successivamente: il Liber di Guglielmo di Boldensele e il Gloria a sancte civitati Iherusalem peregrinatio, ff. 15r-22r. ","http://www.wikidata.org/entity/Q36600"
"Acc. 2011/5","Koninklijke Bibliotheek","'s Gravenhage","Franciscus Pipinus","Il manoscritto membranaceo è formato da 438 ff. e misura 270x190 mm. 
Trasmette anche Dares Phrygius, De excidio Troiae; Geoffrey of Monmouth, Historia regum Britanniae; Gildas, De excidio et conquestu Britanniae; Gesta Cnutonis regis; Odorico da Pordenone, Relatio; Tractatus de ortu Tartarorum; Pierre Tudebode, Tractatus de ortu, progressu et actibus Machometi; De Machometo. ","http://www.wikidata.org/entity/Q36600"
"5009C","National Library of Wales","Aberystwyth","Gervasius Tilberiensis","Il manoscritto cartaceo è formato da 64 ff. Il codice trasmette inoltre i Gesta Romanorum e Guido delle Colonne, Historia destructionis Troiae. ","http://www.wikidata.org/entity/Q213154"
"14","Médiathèque de la Communauté Urbaine","Alençon","Sanctus Brendanus","Il manoscritto membranaceo è formato da I, 156, II ff. e misura 290x200 mm; fu esemplato a Saint-Evroult-Notre-Dame-du-Bois. La seconda unità codicologica, corrispondente ai ff. 12-156 trasmette: Alcuino, Vita s. Willibrordi Traiectensis, ff. 12r-23r; Wulfstan Cantor, Vita s. Aethelwoldi episcopi, ff. 23r-34v; Inni e messe per s. Aethelwold, ff. 34v-36r; Nota biografica e inno per s. Birino di Dorcester, ff. 36v-37r; Inno elegiaco per s. Swithun di Winchester, ff. 37r-37v; Diploma di Carlo il Semplice per il monastero di Saint-Evroult, datato 31 ottobre 900, ff. 38r-28v; Giovanni Crisostomo, De compunctione cordis, ff. 39r-50v; Amalario di Metz, Liber officialis, ff. 51r-84r; Note sul nome di Gerusalemme, l'amore per il prossimo, gli ornamenti sacerdotali, ff. 84r-85r; Passio s. Christinae, ff. 85r-89v; Passio d. Theclae, ff. 89v-90r; serie di benedizioni, ff. 91r-115v; Vita s. Germani Autissiodorensis, ff. 116r-135v; Passio s. Quiriaci, ff. 135v-138r; Ugo di Tours, Dialogus de miraculo facto in dedicatione s. Martini anno 1008, ff. 138r-142r; Fulberto di Chartres, Epistolae I-II, ff. 142r-147; Passio s. Hippolyti, ff. 147r-148v; Passio s. Longini, ff. 138v-150r; Passio ss. Sergii et Bacchi, ff. 150r-156r. Il manoscritto fu realizzato da molte mani, tra cui è possibile vi sia stata quella di Orderico Vitale, identificabile in alcuni fogli (ff. 23-38, 109-110, 138, 140, 150-156). ","http://www.wikidata.org/entity/Q181269"
"84 (deperditus)","Bibliothèque Centrale Louis Aragon","Amiens","Rorgus Fretellus de Nazareth","Il manoscritto membranaceo era formato da 19 ff. e misura 250x170 mm. Il codice è oggi andato perduto. ","http://www.wikidata.org/entity/Q41604"
"31 (27)","Médiathèque Toussaint","Angers","Hrabanus Maurus","Il manoscritto membranaceo è formato da 481 ff. e misura 282x293 mm. La rilegatura è del XVI secolo. Il manoscritto proviene dal convento francescano di La Baumette, in Touraine. Il testo di Rabano Mauro si interrompe al libro XXII, 15. ","http://www.wikidata.org/entity/Q38380"
"Special Collections, 162","University of Michigan Library","Ann Arbor","Christophorus Bondelmontius","Membranaceo e monografico, danneggiato; mm 250 x 170; ff. 29.","http://www.wikidata.org/entity/Q485172"
"M 49","Museum Plantin-Moretus - Bibliotheek","Anvers/Antwerpen","Mapheus Vegius Laudensis","Il manoscritto cartaceo è formato da IV, 43, III ff. e misura 320x220 mm. Il codice, esemplato a Roma, è vergato in corsiva con tratti goticheggianti. Al f. 1r, carta di guardia di colore blu, si legge il titolo dell'opera: ""Mafeii Vegii Laudensis. De rebus antiquis memorabilibus S. Petri Romae"" e la nota di possesso ""Est Henrici Ziberti Dunghen canonici Anteverpiensis protonotarii d.n. papae ex Roma allatum hoc opus"", che individua come possessore il canonico della cattedrale di Anversa Hendrik Sebert van Den Dungen (1511-1596), committente del codice. Allo stesso Sebert è probabile che si debba attribuire la serie di annotazioni depositate ai margini del testo. ","http://www.wikidata.org/entity/Q12892"
"233","Biblioteca Città di Arezzo","Arezzo","Blondus Flavius","Cartaceo, Firenze, ff. II+108+II, luogo di copia: Firenze. Il testo della Roma Instaurata è stato riveduto da una mano coeva. Dopo l'opera, seguono ai ff. 100r-106v gli indici.","http://www.wikidata.org/entity/Q13378"
"311","Biblioteca Città di Arezzo","Arezzo","Sanctus Brendanus","Il manoscritto membranaceo è composto da V, 372, IV ff. e misura 182x130 mm. Probabilmente esemplato ad Arezzo nel primo quarto del XIV secolo, fu posseduto dall'Eremo di Camaldoli ad Arezzo (sec. XIV-XIX) e successivamente dalla Fraternita di S. Maria della Misericordia (sec. XIX-XX). Al f. 1v sono presenti annotazioni del XIV secolo, al f. 5r la nota di possesso dell'Eremo di Camaldoli (sec. XIV), ripetuta da una mano del XVII secolo al f. 2r., e ai ff. 2r e 373v ci sono dei timbri della Fraternita dei Laici di Arezzo del XIX secolo. Il codice trasmette inoltre: Vita s. Marinae, ff. 2r-3r; Vita s. Thaidis, ff. 3r-4r; Tirannio Rufino, Verba seniorum, ff. 4r-4v; tabula delle opere seguenti, ff. 5r-22v; Tirannio Rufino, Historia monachorum, ff. 23r-53v, e Verba seniorum, ff. 54r-113r; Vitae Patrum, ff. 113v-117v; Vita s. Fursei, ff. 177v-187r e 187v-193r; Vitae Patrum, f. 193v; Vita s. Antonii, ff. 194r-206v; Teofilo, Translatio corporis s. Antonii in Galliam, ff. 224r-227r; Pelagio, Verba seniorum, ff. 227v-228v; Vita s. Macarii Romani, ff. 229r-238v; Estratti da Gregorio Magno, Agostino e Giovanni Crisostomo, ff. 260v-262r; Note liturgiche, ff. 262v-263v; Vitae Patrum, ff. 263v-268v; Ioannes de Novo Foro, Epistola pseudo-Eusebii de morte Hieronymi, ff. 269r-305r; Vitae Patrum, ff. 305r-305v; Isaac Ninivita, Liber de contemptu mundi, ff. 306r-371v; Vitae Patrum, ff. 372r-373v. ","http://www.wikidata.org/entity/Q13378"
