"manuscript","signature","libraryName"
"https://imagoarchive.it/ontology/resources/manuscript/firenze/archivioprovincialedeifratiminori/f_16/42r82v","F 16"," Archivio Provinciale dei Frati Minori"
"https://imagoarchive.it/ontology/resources/manuscript/carpentras/bibliothqueinguimbertine/487/1r127v","487"," Bibliothèque Inguimbertine"
"https://imagoarchive.it/ontology/resources/manuscript/nrnberg/stadtbibliothek/cent._v._55/1r108v","Cent. V. 55"," Stadtbibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/padova/lettereedarti/archivio_papafava_cod._21/39r39v","Archivio Papafava cod. 21"," lettere ed arti"
"https://imagoarchive.it/ontology/resources/manuscript/wien/sterreichischenationalbibliothek/1180/146v151v","1180"," Österreichische Nationalbibliothek "
"https://imagoarchive.it/ontology/resources/manuscript/wien/sterreichischenationalbibliothek/1712/44r49r","1712"," Österreichische Nationalbibliothek "
"https://imagoarchive.it/ontology/resources/manuscript/wien/sterreichischenationalbibliothek/609/9r19r","609"," Österreichische Nationalbibliothek "
"https://imagoarchive.it/ontology/resources/manuscript/wien/sterreichischenationalbibliothek/879/1r9v","879"," Österreichische Nationalbibliothek "
"https://imagoarchive.it/ontology/resources/manuscript/wien/sterreichischenationalbibliothek/series_nova_2960_(haus-,_hof-_und_staatsarchiv,_711)/1170v","Series Nova 2960 (Haus-, Hof- und Staatsarchiv, 711)"," Österreichische Nationalbibliothek "
"https://imagoarchive.it/ontology/resources/manuscript/wien/sterreichischenationalbibliothek/ital._2639/394","ital. 2639"," Österreichische Nationalbibliothek "
"https://imagoarchive.it/ontology/resources/manuscript/praha/archivprazskhohraduknihovnametropolitnkapituly/g_28/1r43r","G 28","Archiv Prazského Hradu, Knihovna Metropolitní Kapituly"
"https://imagoarchive.it/ontology/resources/manuscript/praha/archivprazskhohraduknihovnametropolitnkapituly/g._xxi_(1012)/86r131v","G. XXI (1012)","Archiv Prazského Hradu, Knihovna Metropolitní Kapituly"
"https://imagoarchive.it/ontology/resources/manuscript/praha/archivprazskhohraduknihovnametropolitnkapituly/knihovna_metropolitní_kapituly_g._xlii_(1036)/140r152v","Knihovna Metropolitní Kapituly G. XLII (1036)","Archiv Prazského Hradu, Knihovna Metropolitní Kapituly"
"https://imagoarchive.it/ontology/resources/manuscript/praha/archivprazskhohraduknihovnametropolitnkapituly/knihovna_metropolitní_kapituly_n._xiii_(1537)/1r14r","Knihovna Metropolitní Kapituly N. XIII (1537)","Archiv Prazského Hradu, Knihovna Metropolitní Kapituly"
"https://imagoarchive.it/ontology/resources/manuscript/cittdelvaticano/archivioapostolicovaticano/_arch._cap._s._pietro_h_79/325r354r"," Arch. Cap. S. Pietro H 79","Archivio Apostolico Vaticano"
"https://imagoarchive.it/ontology/resources/manuscript/cittdelvaticano/archivioapostolicovaticano/a.a._arm,_i-xviii_953/1r19r","A.A. Arm, I-XVIII 953","Archivio Apostolico Vaticano"
"https://imagoarchive.it/ontology/resources/manuscript/cittdelvaticano/archivioapostolicovaticano/arch._cap._h_61/1r58v","Arch. Cap. H 61","Archivio Apostolico Vaticano"
"https://imagoarchive.it/ontology/resources/manuscript/cittdelvaticano/archivioapostolicovaticano/arch._cap._s._pietro_g_1/154","Arch. Cap. S. Pietro G 1","Archivio Apostolico Vaticano"
"https://imagoarchive.it/ontology/resources/manuscript/cittdelvaticano/archivioapostolicovaticano/arch._cap._s._pietro_h_89/398r418v","Arch. Cap. S. Pietro H 89","Archivio Apostolico Vaticano"
"https://imagoarchive.it/ontology/resources/manuscript/cittdelvaticano/archivioapostolicovaticano/arm._xxv,_144/1837","Arm. XXV, 144","Archivio Apostolico Vaticano"
"https://imagoarchive.it/ontology/resources/manuscript/milano/archiviostoricocivicoebibliotecatrivulziana/triv._430/1r36v","Triv. 430","Archivio Storico Civico e Biblioteca Trivulziana"
"https://imagoarchive.it/ontology/resources/manuscript/novara/archiviostoricodiocesano/_codici_xlii_(88)/69r92v"," Codici XLII (88)","Archivio Storico Diocesano"
"https://imagoarchive.it/ontology/resources/manuscript/genova/archiviostoricodelcomunedigenova/cod._360/7880","cod. 360","Archivio Storico del Comune di Genova"
"https://imagoarchive.it/ontology/resources/manuscript/montecassino/archiviodellabbaziabibliotecastataledelmonumentonazionale/132/1530","132","Archivio dell'Abbazia (Biblioteca Statale del Monumento Nazionale)"
"https://imagoarchive.it/ontology/resources/manuscript/montecassino/archiviodellabbaziabibliotecastataledelmonumentonazionale/152/159204","152","Archivio dell'Abbazia (Biblioteca Statale del Monumento Nazionale)"
"https://imagoarchive.it/ontology/resources/manuscript/montecassino/archiviodellabbaziabibliotecastataledelmonumentonazionale/38/128140","38","Archivio dell'Abbazia (Biblioteca Statale del Monumento Nazionale)"
"https://imagoarchive.it/ontology/resources/manuscript/montecassino/archiviodellabbaziabibliotecastataledelmonumentonazionale/557/621r623v","557","Archivio dell'Abbazia (Biblioteca Statale del Monumento Nazionale)"
"https://imagoarchive.it/ontology/resources/manuscript/gubbio/archiviodistato/fondo_armanni,_ii_f_2_(biblioteca_comunale,_ms._16)/1143","Fondo Armanni, II F 2 (Biblioteca Comunale, ms. 16)","Archivio di Stato"
"https://imagoarchive.it/ontology/resources/manuscript/bologna/archiviostoricodellaprovinciadicristoredeifratiminoridellemiliaromagna/ms._14/264306","Ms. 14","Archivio storico della Provincia di Cristo Re dei Frati Minori dell'Emilia Romagna"
